original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
WCW Slamboree 1996,0,1.4,0,166.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
1996,0,0.6,0,15.0,0.0,0,Português,2019,,
1996,0,0.6,0,0.0,0.0,0,Français,1987,TF1 Production,Action Crime
ECW Hardcore Heaven 1996,0,1.743,0,157.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
WCW World War 3 1996,0,2.143,0,165.0,6.0,1,English,1996,World Championship Wrestling (WCW),Action
WWE Hall Of Fame 1996,0,2.141,0,0.0,0.0,0,English,1996,World Wrestling Entertainment (WWE),
WCW Fall Brawl 1996,0,1.659,0,163.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
ECW CyberSlam 1996,0,1.09,0,151.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
ECW Heat Wave 1996,0,1.4,0,148.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
WCW Halloween Havoc 1996,0,1.385,0,178.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
UFO-1996,0,0.6,0,4.0,0.0,0,English,,,Science Fiction
"1996, hold-up à Moscou",0,0.609,0,52.0,9.0,2,English,2021,Point du Jour,Documentary History TV Movie
wkw/tk/1996@7'55''hk.net,0,1.4,0,8.0,5.8,8,日本語,1996,DENTSU Music And Entertainment,Romance
ECW House Party 1996,0,1.247,0,145.0,8.5,2,English,1996,Extreme Championship Wrestling (ECW),
Ozzfest 1996,0,0.6,0,50.0,0.0,0,,,,
"january, 1996",2300,0.6,0,6.0,0.0,0,,,,Drama
Cirkusrevyen 1996,0,0.6,0,0.0,0.0,0,Dansk,1996,,Family Comedy
Fotbollskrönikan EM 1996,0,0.6,0,0.0,0.0,0,,1996,,
Garbage - Rockpalast 1996,0,0.6,0,,0.0,0,,,,
ECW Ultimate Jeopardy 1996,0,1.17,0,106.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
Deep Purple: Live at Montreux 1996,0,1.84,0,103.0,7.7,6,English,1996,,Music
K-1 GP 1996,0,0.6,0,0.0,0.0,0,,,,
ECW Hostile City Showdown 1996,0,1.341,0,138.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
WCW Bash at The Beach 1996,0,1.573,0,167.0,7.8,3,English,1996,World Championship Wrestling (WCW),Action
Carl Stanley: Född 1996,0,0.654,0,0.0,5.0,1,,2020,,Comedy
"Les Bleus - Une autre histoire de France, 1996-2016",0,3.212,0,147.0,6.7,45,Français,2016,Black Dynamite Films,Documentary
Michael Jackson HIStory Tour - Sydney - 1996,0,1.251,0,0.0,7.0,2,,1996,,
1996 – 2004 – 2014,0,0.6,0,5.0,0.0,0,Français,2014,École Cantonale d'Art de Lausanne,Documentary
F1 Review 1996,0,0.6,0,0.0,0.0,0,,,,
1996 World Series,0,0.6,0,65.0,0.0,0,,1996,Major League Baseball Productions,Documentary
WWF Xperience 1996,0,0.6,0,0.0,0.0,0,,1996,,
Neon Parallel 1996,0,0.6,0,11.0,0.0,0,English,2015,,Science Fiction
Sports Illustrated: Swimsuit 1996,0,0.876,0,45.0,10.0,1,English,2000,Image Entertainment,Documentary
Super 8 Diary - 1996,0,0.6,0,19.0,0.0,0,,1996,,
France Gall - Olympia 1996,0,0.6,0,0.0,0.0,0,,1996,,Music
Camel Trophy 1996 - Kalimantan,0,0.6,0,49.0,0.0,0,,1996,,Documentary
ECW November to Remember 1996,0,1.091,0,179.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
Kiss [1996] Irvine,0,0.6,0,80.0,0.0,0,,1996,,
Faces 1976–1996,0,0.6,0,14.0,0.0,0,,1997,,
12/14/1996,0,0.6,0,15.0,0.0,0,English,,,Drama Horror Thriller
12/15/1996,1,0.6,0,11.0,0.0,0,English,2011,,Horror
"October 25th & 26th, 1996",0,0.6,0,8.0,0.0,0,,1996,,
WCW The Great American Bash 1996,0,1.202,0,167.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
Oasis-  Knebworth 1996 (Sunday Night),0,0.6,0,113.0,0.0,0,English,2021,Kosmic Kyte,Music
WRC 1996 - FIA World Rally Championship,0,0.6,0,90.0,0.0,0,English,1996,Duke Video,Documentary
Tour de France 1996,0,0.6,0,0.0,0.0,0,,1996,Antenne 2,Documentary
1996: Pust på meg!,0,0.6,0,106.0,0.0,0,Norsk,1997,,Drama
